id,order_id,payment_method,amount,status,created
1,1,credit_card,1000,success,2018-01-01
2,2,credit_card,2000,success,2018-01-02
3,3,credit_card,100,success,2018-01-04
4,4,credit_card,1000,success,2018-01-05
5,5,bank_transfer,1000,success,2018-01-05
6,6,bank_transfer,2000,success,2018-01-07
7,7,credit_card,1000,success,2018-01-08
8,8,credit_card,2000,success,2018-01-09
9,9,credit_card,100,success,2018-01-11
10,10,credit_card,1000,success,2018-01-12
11,11,coupon,100,success,2018-01-14
12,12,coupon,200,success,2018-01-14
13,13,credit_card,100,success,2018-01-14
14,14,credit_card,200,success,2018-01-15
15,15,credit_card,300,success,2018-01-16
16,16,coupon,100,success,2018-01-17
17,17,coupon,200,success,2018-01-19
18,18,bank_transfer,100,success,2018-01-19
19,19,bank_transfer,200,success,2018-01-20
20,20,credit_card,300,success,2018-01-22
21,21,credit_card,100,success,2018-01-23
22,22,credit_card,200,success,2018-01-24
23,23,credit_card,300,success,2018-01-25
24,24,coupon,100,success,2018-01-26
25,25,coupon,200,success,2018-01-27
26,26,bank_transfer,100,success,2018-01-28
27,27,bank_transfer,200,success,2018-01-29
28,28,credit_card,300,success,2018-01-20
29,29,credit_card,100,success,2018-01-31
30,30,credit_card,200,success,2018-02-01
31,31,credit_card,300,fail,2018-02-02
32,32,coupon,100,success,2018-02-02
33,33,coupon,200,fail,2018-02-03
